learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.061446621,1.753678138864537E-9,1000.0,84.8,69.58978216680805,81.55339805825241,68.53002070393373,1000.0,110320.0,10.0,1008.1,12.148571017933664,2054.4,174.39999999999998,1.2000000000000002,0.19999999999999998,1.1000000000000003,0.09999999999999999,1.1000000000000003,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.102509961,2.9848547241960958E-9,2000.0,85.6,71.20587400170365,82.52427184466018,70.73170731707317,2000.0,115896.0,10.0,1993.6,14.943746369486988,2439.2000000000003,559.1999999999999,1.6,0.6,1.2999999999999998,0.3,1.2999999999999998,0.3,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.135600858,3.991380382285763E-9,3000.0,85.9,71.83649989613461,83.21428571428571,71.51515151515152,3000.0,117576.0,10.0,2985.8,20.467209547631708,2439.2000000000003,559.1999999999999,1.6,0.6,1.2999999999999998,0.3,1.2999999999999998,0.3,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.16925948,5.311090534695734E-9,4000.0,81.3,62.59221918158976,76.9704433497537,62.14574898785424,4000.0,151560.0,10.0,3983.5000000000005,24.112352758608118,5794.400000000001,186.39999999999998,5.2,0.19999999999999998,3.1,0.09999999999999999,3.1,0.09999999999999999,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.197507815,6.418670473297436E-9,5000.0,85.7,71.39862713410243,82.60340632603406,70.57613168724279,5000.0,151560.0,10.0,4983.3,21.814903162746333,5794.400000000001,186.39999999999998,5.2,0.19999999999999998,3.1,0.09999999999999999,3.1,0.09999999999999999,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.227999921,7.627478105686605E-9,6000.0,85.0,70.00287972354654,81.34328358208953,69.8189134808853,6000.0,153240.0,10.0,5975.299999999999,24.13943293083376,5794.400000000001,186.39999999999998,5.2,0.19999999999999998,3.1,0.09999999999999999,3.1,0.09999999999999999,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.257691903,8.818146788010166E-9,7000.0,88.1,76.2146517745069,85.6280193236715,75.51440329218107,7000.0,155008.0,10.0,6979.2,27.179567488996003,5968.8,240.6995730042835,5.4,0.26666666666666666,3.2,0.13333333333333333,3.2,0.13333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.286894083,9.990080631826487E-9,8000.0,87.2,74.4031740064232,84.57831325301206,74.29718875502009,8000.0,155128.0,10.0,7973.1,24.01316768404831,5980.8,248.53333333333333,5.4,0.26666666666666666,3.2,0.13333333333333333,3.2,0.13333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.320987752,1.1373488862067462E-8,9000.0,86.9,73.78406070891101,84.06326034063261,72.65135699373695,9000.0,156848.0,10.0,8971.0,22.59744331654458,6150.4,383.05958921411803,5.6000000000000005,0.4268749491621899,3.3000000000000003,0.21343747458109494,3.3000000000000003,0.21343747458109494,2.1,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.354792092,1.2895224830218489E-8,10000.0,86.3,72.58464740254541,82.65822784810126,72.32323232323232,10000.0,174008.0,10.0,9980.100000000002,19.668615722628875,7844.8,248.5333333333333,7.4,0.26666666666666666,4.2,0.13333333333333333,4.2,0.13333333333333333,2.2,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
