learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.061776863,2.2277237245440483E-9,1000.0,59.099999999999994,18.199999999999996,59.099999999999994,-Infinity,1000.0,139392.0,10.0,1008.1,12.148571017933664,4704.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.121165498,5.750723402361489E-9,2000.0,64.8,29.600000000000005,64.8,29.600000000000005,2000.0,229304.0,10.0,1993.6,14.943746369486988,13515.2,8811.2,3.2,2.2,3.0,2.0,3.0,2.0,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.216024913,2.0616979332800127E-8,3000.0,66.2,32.400000000000006,66.2,32.400000000000006,3000.0,605792.0,10.0,2985.8,20.467209547631708,50967.2,13728.583434895561,13.200000000000001,3.2721043178154736,11.6,3.134751452135666,11.6,3.134751452135666,1.6,0.1632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.3085114,4.13205200201066E-8,4000.0,59.3,18.599999999999994,59.3,18.599999999999994,4000.0,865304.0,10.0,3983.5000000000005,24.112352758608118,76901.6,10928.689228305875,19.6,2.6170381901854025,17.5,2.504440500834911,17.5,2.504440500834911,2.1,0.1795054935711501,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.405096519,6.53910492347781E-8,5000.0,63.0,26.0,63.0,26.0,5000.0,963336.0,10.0,4983.3,21.814903162746333,86688.8,8219.424014423936,22.4,1.9787762772874442,19.799999999999997,1.8785337071473822,19.799999999999997,1.8785337071473822,2.3000000000000007,0.15275252316519464,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.473020612,8.272380016349877E-8,6000.0,68.7,37.40000000000001,68.7,37.40000000000001,6000.0,986384.0,10.0,5975.299999999999,24.13943293083376,88865.59999999999,8482.109657914643,23.0,2.0869967789998034,20.1,1.923249564900221,20.1,1.923249564900221,2.3000000000000007,0.15275252316519464,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.547966633,1.035783218500639E-7,7000.0,68.8,37.59999999999999,68.8,37.59999999999999,7000.0,1075608.0,10.0,6979.2,27.179567488996003,97742.4,1415.9064878099196,25.2,0.6289320754704403,22.1,0.31446603773522014,22.1,0.31446603773522014,2.5,0.22360679774997894,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.616767802,1.2275002793076758E-7,8000.0,69.0,37.999999999999986,69.0,37.999999999999986,8000.0,1077128.0,10.0,7973.1,24.01316768404831,97894.4,1452.7356813956214,25.2,0.6289320754704403,22.1,0.31446603773522014,22.1,0.31446603773522014,2.5,0.22360679774997894,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.685323094,1.4187350864175087E-7,9000.0,67.9,35.80000000000001,67.9,35.80000000000001,9000.0,1078272.0,10.0,8971.0,22.59744331654458,97975.2,1497.5741925601624,25.2,0.6289320754704403,22.1,0.31446603773522014,22.1,0.31446603773522014,2.5,0.22360679774997894,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.747409212,1.591965267643974E-7,10000.0,70.1,40.19999999999999,70.1,40.19999999999999,10000.0,1078528.0,10.0,9980.100000000002,19.668615722628875,97984.0,1498.4137390364967,25.2,0.6289320754704403,22.1,0.31446603773522014,22.1,0.31446603773522014,2.5,0.22360679774997894,0.0,0.0,0.0,0.0,1.0,0.0
