evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent)
1000.0,1000.0,44.3,-11.399999999999999,44.3
2000.0,2000.0,53.05,6.099999999999994,53.05
3000.0,3000.0,58.199999999999996,16.39999999999999,58.199999999999996
4000.0,4000.0,59.975,19.950000000000003,59.975
5000.0,5000.0,61.18,22.360000000000003,61.18
6000.0,6000.0,62.35000000000001,24.70000000000001,62.35000000000001
7000.0,7000.0,63.15714285714286,26.314285714285713,63.15714285714286
8000.0,8000.0,63.712500000000006,27.42500000000001,63.712500000000006
9000.0,9000.0,64.5,29.000000000000004,64.5
10000.0,10000.0,65.24,30.479999999999997,65.24
11000.0,11000.0,65.88181818181819,31.763636363636373,65.88181818181819
12000.0,12000.0,66.44166666666666,32.88333333333333,66.44166666666666
13000.0,13000.0,66.93846153846154,33.87692307692307,66.93846153846154
14000.0,14000.0,67.34285714285714,34.685714285714276,67.34285714285714
15000.0,15000.0,67.84666666666666,35.693333333333335,67.84666666666666
16000.0,16000.0,68.21875,36.437499999999986,68.21875
17000.0,17000.0,68.60000000000001,37.20000000000001,68.60000000000001
18000.0,18000.0,68.8,37.59999999999999,68.8
19000.0,19000.0,69.03684210526316,38.079237525224066,69.01727406783232
20000.0,20000.0,68.8,37.602631297038194,68.38265099310902
21000.0,21000.0,67.8047619047619,35.6095238095238,67.17642489562094
22000.0,22000.0,66.71363636363637,33.42727272727273,66.09408278544309
23000.0,23000.0,65.7304347826087,31.460869565217386,65.12080715107531
24000.0,24000.0,64.75416666666666,29.508333333333336,64.15374184252903
25000.0,25000.0,63.968,27.936000000000007,63.379136515163836
26000.0,26000.0,63.3,26.6,62.723650285178536
27000.0,27000.0,62.64074074074074,25.28148148148148,62.07609594706369
28000.0,28000.0,62.1,24.2,61.5479382563954
29000.0,29000.0,61.63793103448276,23.275862068965523,61.09867822924681
30000.0,30000.0,61.196666666666665,22.39333333333333,60.66963984052977
31000.0,31000.0,60.967741935483865,21.93548387096773,60.454931694882006
32000.0,32000.0,61.040625000000006,22.081250000000008,60.54497120070891
33000.0,33000.0,61.25454545454545,22.5090909090909,60.77673476900423
34000.0,34000.0,61.514705882352935,23.029411764705877,61.05422941841776
35000.0,35000.0,61.825714285714284,23.651428571428568,61.38216081854442
36000.0,36000.0,62.09166666666667,24.183333333333334,61.663576605427274
37000.0,37000.0,62.57297297297298,25.145945945945947,62.161866768675885
38000.0,38000.0,63.03421052631579,26.068421052631585,62.63897015798713
39000.0,39000.0,63.63333333333333,27.266666666666662,63.25457277579149
40000.0,40000.0,64.2475,28.495000000000005,63.8845396232133
41000.0,41000.0,64.85609756097561,29.712195121951225,64.50810384748017
42000.0,42000.0,65.43333333333334,30.866666666666664,65.09928361940479
43000.0,43000.0,65.9953488372093,31.9906976744186,65.67444480961548
44000.0,44000.0,66.52727272727273,33.05454545454545,66.21863388228817
45000.0,45000.0,67.04666666666667,34.093333333333334,66.74963002825238
46000.0,46000.0,67.52173913043478,35.04347826086958,67.23540506162551
47000.0,47000.0,67.99361702127659,35.9872340425532,67.71749860509036
48000.0,48000.0,68.43125,36.8625,68.16462876591454
49000.0,49000.0,68.86122448979592,37.722448979591825,68.60364624058603
50000.0,50000.0,69.262,38.524,69.01286342191217
51000.0,51000.0,69.62156862745098,39.24313725490196,69.38021265662675
52000.0,52000.0,69.99807692307692,39.996153846153845,69.76433195085082
53000.0,53000.0,70.31320754716981,40.62641509433962,70.08631506901402
54000.0,54000.0,70.6351851851852,41.27037037037038,70.41494085600209
55000.0,55000.0,70.96000000000001,41.92,70.74618117879777
56000.0,56000.0,71.27142857142857,42.54285714285715,71.0637073276017
57000.0,57000.0,71.60350877192982,43.20701754385965,71.40181631859784
58000.0,58000.0,71.92758620689655,43.855172413793106,71.73165734921352
59000.0,59000.0,72.2271186440678,44.4542372881356,72.03658827946346
60000.0,60000.0,72.49833333333333,44.99666666666666,72.31282928957347
