evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent)
1000.0,1000.0,50.7,-1.3877577881427687,40.16990291262136
2000.0,2000.0,50.5,-0.6964328034395282,39.92718446601942
3000.0,3000.0,50.73333333333333,-0.463983186217281,40.59485530546624
4000.0,4000.0,55.625,10.091392732446677,46.21212121212122
5000.0,5000.0,60.480000000000004,20.185570165043003,52.06210577389617
6000.0,6000.0,63.6,26.595020628345278,55.6638246041413
7000.0,7000.0,66.18571428571428,31.802780671749804,58.86339937434827
8000.0,8000.0,67.7375,35.03200762297822,60.79890643985419
9000.0,9000.0,69.18888888888888,38.078874567355996,62.55738590332163
10000.0,10000.0,70.30999999999999,40.402229747497344,63.775012201073686
11000.0,11000.0,71.0909090909091,42.061267311225414,64.66274030447828
12000.0,12000.0,71.75833333333334,43.402544185623185,65.4395268203141
13000.0,13000.0,72.5,44.88137428078939,66.37193114476531
14000.0,14000.0,73.32857142857144,46.54533752146735,67.45118549511855
15000.0,15000.0,74.24,48.434138009890816,68.65925865844756
16000.0,16000.0,74.96875,49.893926505837634,69.55530216647662
17000.0,17000.0,75.71764705882353,51.400488122594,70.51849735752036
18000.0,18000.0,76.37777777777778,52.71517957277965,71.32452117615323
19000.0,19000.0,76.96842105263157,53.89387528399734,72.06867938980022
20000.0,20000.0,77.28,54.502130349634314,72.15003677371905
21000.0,21000.0,77.45238095238095,54.84201996024952,72.22548099483811
22000.0,22000.0,77.67272727272727,55.271791622111536,72.53410870051442
23000.0,23000.0,77.85652173913043,55.638324664037164,72.76761843653085
24000.0,24000.0,78.06666666666666,56.062426633336585,73.02725968436154
25000.0,25000.0,78.29599999999999,56.51878988647759,73.31562899577064
26000.0,26000.0,78.55,57.027916745931776,73.64117591454769
27000.0,27000.0,78.7,57.32896261494225,73.78521287264108
28000.0,28000.0,78.93928571428572,57.801008390186716,74.08595535243452
29000.0,29000.0,79.06896551724138,58.06105620248269,74.23818012053306
30000.0,30000.0,79.28666666666668,58.49961537010757,74.54739084132056
31000.0,31000.0,79.37096774193549,58.667984120633335,74.6350943994923
32000.0,32000.0,79.475,58.880371619267535,74.7539975399754
33000.0,33000.0,79.5909090909091,59.11979679466393,74.90030932061268
34000.0,34000.0,79.69411764705883,59.33912328632592,75.03976861894432
35000.0,35000.0,79.86857142857143,59.691506008008744,75.26330571548941
36000.0,36000.0,79.96111111111112,59.87682917011251,75.36706958956498
37000.0,37000.0,80.08108108108108,60.12788379222091,75.52552053930197
38000.0,38000.0,80.21052631578948,60.3847681518556,75.69646435265983
39000.0,39000.0,80.33846153846153,60.639713865360854,75.86326292927068
40000.0,40000.0,80.47999999999999,60.92381867988252,76.05201815728131
41000.0,41000.0,80.62439024390244,61.21040837463978,76.23122494165521
42000.0,42000.0,80.70238095238095,61.365561704102014,76.31848064280497
43000.0,43000.0,80.80000000000001,61.56172487445974,76.43701124493408
44000.0,44000.0,80.92272727272727,61.80932103423943,76.59752425560387
45000.0,45000.0,81.04666666666667,62.05972555719283,76.75641794298795
46000.0,46000.0,81.17173913043479,62.31194440114734,76.93229638310339
47000.0,47000.0,81.28297872340426,62.53614564830682,77.06367002137978
48000.0,48000.0,81.39999999999999,62.773254910324624,77.2221655270946
49000.0,49000.0,81.53061224489797,63.03641655242021,77.39308553157476
50000.0,50000.0,81.624,63.22156513215438,77.50795593635252
51000.0,51000.0,81.72156862745098,63.41903781264943,77.6311369199021
52000.0,52000.0,81.79807692307692,63.5725929657136,77.71892655367232
53000.0,53000.0,81.8811320754717,63.73914136688573,77.81397283060714
54000.0,54000.0,81.97407407407408,63.922141208358795,77.93144100843384
55000.0,55000.0,82.0709090909091,64.11495600210618,78.06814643476714
56000.0,56000.0,82.12678571428572,64.22729628643691,78.12814125256763
57000.0,57000.0,82.18596491228071,64.34502365099632,78.20281641765413
58000.0,58000.0,82.23965517241379,64.45361618441494,78.26793248945148
59000.0,59000.0,82.29491525423728,64.56481703575334,78.33768819211149
60000.0,60000.0,82.36666666666666,64.71170835453928,78.4301732925586
61000.0,61000.0,82.42131147540984,64.82163210094417,78.49464522080942
62000.0,62000.0,82.46129032258065,64.90165662714706,78.53956976514704
63000.0,63000.0,82.52698412698413,65.03399529149638,78.6252427184466
64000.0,64000.0,82.58125,65.14272949400578,78.69428942741379
65000.0,65000.0,82.63692307692307,65.25523279406556,78.75776397515529
66000.0,66000.0,82.67424242424242,65.33082171396084,78.80130510548368
67000.0,67000.0,82.74626865671641,65.4759778419787,78.88738722285129
68000.0,68000.0,82.81470588235294,65.61342402961942,78.9721812358297
69000.0,69000.0,82.85217391304349,65.69232202295748,79.00638750887154
70000.0,70000.0,82.92857142857143,65.84619133384157,79.10108429520811
71000.0,71000.0,82.99154929577465,65.97389303451838,79.17105058902668
72000.0,72000.0,83.04583333333333,66.0808110082009,79.23626467086238
73000.0,73000.0,83.1041095890411,66.19811065615518,79.30953499295444
74000.0,74000.0,83.17567567567568,66.341083513249,79.40378507146639
75000.0,75000.0,83.23866666666667,66.46722258990249,79.4839573065248
76000.0,76000.0,83.30526315789474,66.6015383364249,79.57106974946868
77000.0,77000.0,83.34545454545454,66.68089717537353,79.61856325492688
78000.0,78000.0,83.39230769230768,66.77347329158805,79.67936248980358
79000.0,79000.0,83.43037974683544,66.85065394128588,79.71988969107304
80000.0,80000.0,83.44749999999999,66.88523834777325,79.734320957424
81000.0,81000.0,83.48395061728395,66.95686497855961,79.77137327244685
82000.0,82000.0,83.51829268292683,67.02569619540273,79.80907135173898
83000.0,83000.0,83.57951807228916,67.14859446195061,79.88755091198867
84000.0,84000.0,83.62142857142857,67.23248457098752,79.93875765529307
85000.0,85000.0,83.67411764705882,67.33775010160217,80.00489899426529
86000.0,86000.0,83.71046511627907,67.41091084135432,80.04984334947308
87000.0,87000.0,83.74942528735633,67.48980037769638,80.09517373430197
88000.0,88000.0,83.80454545454545,67.60054610538963,80.16919908721545
89000.0,89000.0,83.84269662921349,67.67767786586175,80.2146395156852
90000.0,90000.0,83.88333333333333,67.758649094505,80.26423206705127
91000.0,91000.0,83.92417582417583,67.84028612726006,80.31302147817195
92000.0,92000.0,83.96195652173914,67.9162658642196,80.35704776612174
93000.0,93000.0,84.0,67.99236713620125,80.40197033954112
94000.0,94000.0,84.05425531914894,68.10138521843467,80.46984937718248
95000.0,95000.0,84.08842105263157,68.17011771551459,80.50906465172652
96000.0,96000.0,84.125,68.24332067718181,80.55576820026027
97000.0,97000.0,84.1742268041237,68.34203682275113,80.61448704349144
98000.0,98000.0,84.23469387755102,68.46307478772172,80.6957043256616
99000.0,99000.0,84.26767676767678,68.52908000444671,80.73164093428346
100000.0,100000.0,84.297,68.58800312311143,80.76461365084032
# COMPLETED
