evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent)
1000.0,1000.0,0.0,-100.0,0.0
2000.0,2000.0,0.0,-100.0,0.0
3000.0,3000.0,13.0,-74.0,13.0
4000.0,4000.0,26.075,-47.85,26.075
5000.0,5000.0,34.82,-30.36,34.82
6000.0,6000.0,40.93333333333333,-18.133333333333333,40.93333333333333
7000.0,7000.0,45.67142857142857,-8.657142857142851,45.67142857142857
8000.0,8000.0,49.1375,-1.7249999999999988,49.1375
9000.0,9000.0,51.577777777777776,3.155555555555556,51.577777777777776
10000.0,10000.0,53.790000000000006,7.580000000000009,53.790000000000006
11000.0,11000.0,55.58181818181818,11.163636363636353,55.58181818181818
12000.0,12000.0,57.074999999999996,14.149999999999995,57.074999999999996
13000.0,13000.0,58.353846153846156,16.707692307692312,58.353846153846156
14000.0,14000.0,59.44285714285714,18.885714285714283,59.44285714285714
15000.0,15000.0,60.58,21.16,60.58
16000.0,16000.0,61.550000000000004,23.10000000000001,61.550000000000004
17000.0,17000.0,62.376470588235286,24.75294117647058,62.376470588235286
18000.0,18000.0,62.983333333333334,25.966666666666672,62.983333333333334
19000.0,19000.0,63.578947368421055,27.162246439525745,63.55593006109122
20000.0,20000.0,63.754999999999995,27.512007917380675,63.270166193757596
21000.0,21000.0,63.023809523809526,26.04761904761905,62.30216525876299
22000.0,22000.0,62.13636363636363,24.272727272727266,61.43161403833688
23000.0,23000.0,61.36521739130435,22.7304347826087,60.677936100539874
24000.0,24000.0,60.550000000000004,21.10000000000001,59.87795575896263
25000.0,25000.0,59.912,19.823999999999998,59.25685015041873
26000.0,26000.0,59.23846153846154,18.47692307692308,58.598327994374564
27000.0,27000.0,58.699999999999996,17.39999999999999,58.075795172569364
28000.0,28000.0,58.36785714285714,16.735714285714277,57.7614319878252
29000.0,29000.0,58.09310344827586,16.186206896551724,57.50402126022799
30000.0,30000.0,57.68,15.359999999999996,57.10520981147374
31000.0,31000.0,57.435483870967744,14.87096774193548,56.876266422642
32000.0,32000.0,57.140625,14.28125,56.59535413633774
33000.0,33000.0,56.96666666666667,13.93333333333333,56.435977667341554
34000.0,34000.0,56.7764705882353,13.55294117647059,56.25930114887792
35000.0,35000.0,56.87428571428571,13.74857142857142,56.37320076304988
36000.0,36000.0,56.97222222222222,13.944444444444448,56.486319456149225
37000.0,37000.0,57.24594594594594,14.491891891891884,56.77632657522269
38000.0,38000.0,57.54473684210526,15.08947368421052,57.09080270227139
39000.0,39000.0,57.94358974358974,15.88717948717948,57.50557023679983
40000.0,40000.0,58.394999999999996,16.789999999999992,57.97262488004444
41000.0,41000.0,58.797560975609755,17.595121951219504,58.389575841174434
42000.0,42000.0,59.25714285714285,18.514285714285705,58.86340689456223
43000.0,43000.0,59.65348837209302,19.306976744186045,59.27273580919292
44000.0,44000.0,60.084090909090904,20.168181818181807,59.71604202027615
45000.0,45000.0,60.611111111111114,21.222222222222232,60.256065294407826
46000.0,46000.0,61.186956521739134,22.373913043478268,60.84477389359183
47000.0,47000.0,61.79574468085106,23.591489361702124,61.466157345808824
48000.0,48000.0,62.37083333333333,24.74166666666666,62.05302743812765
49000.0,49000.0,62.93877551020408,25.877551020408163,62.63220708671139
50000.0,50000.0,63.456,26.912000000000003,63.15980483083995
51000.0,51000.0,63.92745098039215,27.854901960784307,63.64085536977746
52000.0,52000.0,64.41730769230769,28.834615384615383,64.1400829489515
53000.0,53000.0,64.84716981132075,29.694339622641518,64.57850108369139
54000.0,54000.0,65.26481481481483,30.52962962962964,65.00429120489571
55000.0,55000.0,65.68363636363637,31.367272727272734,65.43096816733214
56000.0,56000.0,66.07499999999999,32.14999999999999,65.82970610453613
57000.0,57000.0,66.47894736842105,32.9578947368421,66.24085656736986
58000.0,58000.0,66.87241379310345,33.744827586206895,66.64120281954234
59000.0,59000.0,67.24745762711865,34.49491525423729,67.02276528209154
60000.0,60000.0,67.59833333333334,35.19666666666667,67.37977784489414
61000.0,61000.0,67.94426229508197,35.88852459016394,67.73160830390442
62000.0,62000.0,68.26774193548387,36.535483870967745,68.06065131984805
63000.0,63000.0,68.56349206349206,37.12698412698412,68.36160899709256
64000.0,64000.0,68.8953125,37.79062500000001,68.6987012170194
65000.0,65000.0,69.1923076923077,38.384615384615394,69.00058825350631
66000.0,66000.0,69.51515151515152,39.03030303030304,69.32833318088967
67000.0,67000.0,69.7865671641791,39.57313432835821,69.60419231808763
68000.0,68000.0,70.06323529411765,40.126470588235286,69.8852037042516
69000.0,69000.0,70.32753623188405,40.655072463768114,70.1536487944255
70000.0,70000.0,70.58,41.16,70.41006925486364
71000.0,71000.0,70.83239436619718,41.66478873239436,70.66630782741721
72000.0,72000.0,71.07638888888889,42.15277777777777,70.91399201095003
73000.0,73000.0,71.32602739726028,42.652054794520545,71.16724978649549
74000.0,74000.0,71.54459459459459,43.089189189189185,71.38916818391804
75000.0,75000.0,71.76133333333333,43.522666666666666,71.60915842247782
76000.0,76000.0,71.96578947368421,43.93157894736841,71.81671472790285
77000.0,77000.0,72.17402597402598,44.34805194805196,72.02799028695267
78000.0,78000.0,72.37051282051283,44.741025641025644,72.22737699425244
79000.0,79000.0,72.59240506329114,45.184810126582285,72.45222524746178
80000.0,80000.0,72.80875,45.6175,72.67142390512325
81000.0,81000.0,73.00617283950618,46.012345679012356,72.87153527382813
82000.0,82000.0,73.21341463414635,46.42682926829269,73.08144807470772
83000.0,83000.0,73.40240963855422,46.80481927710844,73.272960604373
84000.0,84000.0,73.60119047619048,47.20238095238096,73.47424579535397
85000.0,85000.0,73.79411764705883,47.588235294117645,73.66959029764297
86000.0,86000.0,73.95813953488371,47.916279069767434,73.83583728591789
87000.0,87000.0,74.1551724137931,48.310344827586206,74.03519711771635
88000.0,88000.0,74.32954545454545,48.65909090909091,74.21173999406379
89000.0,89000.0,74.50898876404494,49.017977528089894,74.3933271631414
90000.0,90000.0,74.6888888888889,49.37777777777779,74.57532534208353
91000.0,91000.0,74.87472527472528,49.74945054945054,74.76323980661824
92000.0,92000.0,75.0304347826087,50.06086956521738,74.92084980021397
93000.0,93000.0,75.18709677419355,50.374193548387105,75.07937536447872
94000.0,94000.0,75.34574468085107,50.69148936170214,75.23985555246907
95000.0,95000.0,75.49473684210525,50.989473684210516,75.39060022410621
96000.0,96000.0,75.63854166666667,51.27708333333334,75.53609908157075
97000.0,97000.0,75.79175257731958,51.58350515463916,75.69100809540569
98000.0,98000.0,75.95918367346938,51.91836734693878,75.86016106887436
99000.0,99000.0,76.10303030303031,52.20606060606061,76.00559849084159
100000.0,100000.0,76.228,52.45599999999999,76.13205084439446
# COMPLETED
